Name,vCPU,"Memory
(GiB)","Instance
Storage
(GB)",I/O,"On-Demand
Hourly Cost","Reserved Effective
Hourly Cost
(Savings %) *"
t1.micro,1,0.6,--,Very Low,$0.0200,$0.008 (59%)
t2.nano,1,0.5,--,Low,$0.0058,$0.002 (63%)
t2.micro,1,1.0,--,Low to Moderate,$0.0116,$0.004 (62%)
t2.small,1,2.0,--,Low to Moderate,$0.0230,$0.009 (62%)
t2.medium,2,4.0,--,Low to Moderate,$0.0464,$0.017 (62%)
t2.large,2,8.0,--,Low to Moderate,$0.0928,$0.035 (62%)
t2.xlarge,4,16.0,--,Low to Moderate,$0.1856,$0.070 (62%)
t2.2xlarge,8,32.0,--,Low to Moderate,$0.3712,$0.140 (62%)
m4.large,2,8.0,--,Moderate,$0.1000,$0.038 (62%)
m4.xlarge,4,16.0,--,High,$0.2000,$0.075 (62%)
m4.2xlarge,8,32.0,--,High,$0.4000,$0.150 (62%)
m4.4xlarge,16,64.0,--,High,$0.8000,$0.301 (62%)
m4.10xlarge,40,160.0,--,10 Gigabit,$2.0000,$0.752 (62%)
m4.16xlarge,64,256.0,--,10 Gigabit,$3.2000,$1.203 (62%)
m5.large,2,8.0,--,Moderate,$0.0960,$0.037 (62%)
m5.xlarge,4,16.0,--,High,$0.1920,$0.074 (62%)
m5.2xlarge,8,32.0,--,High,$0.3840,$0.147 (62%)
m5.4xlarge,16,64.0,--,High,$0.7680,$0.295 (62%)
m5.12xlarge,48,192.0,--,10 Gigabit,$2.3040,$0.884 (62%)
m5.24xlarge,96,384.0,--,10 Gigabit,$4.6080,$1.769 (62%)
m5d.large,2,8.0,1 x 75 NVMe SSD,Moderate,$0.1130,$0.043 (62%)
m5d.xlarge,4,16.0,1 x 150 NVMe SSD,High,$0.2260,$0.086 (62%)
m5d.2xlarge,8,32.0,1 x 300 NVMe SSD,High,$0.4520,$0.172 (62%)
m5d.4xlarge,16,64.0,2 x 300 NVMe SSD,High,$0.9040,$0.344 (62%)
m5d.12xlarge,48,192.0,2 x 900 NVMe SSD,10 Gigabit,$2.7120,$1.033 (62%)
m5d.24xlarge,96,384.0,4 x 900 NVMe SSD,25 Gigabit,$5.4240,$2.066 (62%)
m3.medium,1,3.75,SSD 1 x 4,Moderate,$0.0670,$0.026 (61%)
m3.large,2,7.5,SSD 1 x 32,Moderate,$0.1330,$0.052 (61%)
m3.xlarge,4,15.0,SSD 2 x 40,High,$0.2660,$0.104 (61%)
m3.2xlarge,8,30.0,SSD 2 x 80,High,$0.5320,$0.209 (61%)
c5.large,2,4.0,--,Up to 10 Gbps,$0.0850,$0.031 (64%)
c5.xlarge,4,8.0,--,Up to 10 Gbps,$0.1700,$0.062 (64%)
c5.2xlarge,8,16.0,--,Up to 10 Gbps,$0.3400,$0.124 (64%)
c5.4xlarge,16,32.0,--,Up to 10 Gbps,$0.6800,$0.248 (64%)
c5.9xlarge,36,72.0,--,10 Gigabit,$1.5300,$0.558 (64%)
c5.18xlarge,72,144.0,--,25 Gigabit,$3.0600,$1.116 (64%)
c5d.large,2,4.0,1 x 50 NVMe SSD,Up to 10 Gbps,$0.0960,$0.035 (63%)
c5d.xlarge,4,8.0,1 x 100 NVMe SSD,Up to 10 Gbps,$0.1920,$0.070 (63%)
c5d.2xlarge,8,16.0,1 x 200 NVMe SSD,Up to 10 Gbps,$0.3840,$0.140 (63%)
c5d.4xlarge,16,32.0,1 x 400 NVMe SSD,Up to 10 Gbps,$0.7680,$0.281 (63%)
c5d.9xlarge,36,72.0,1 x 900 NVMe SSD,10 Gigabit,$1.7280,$0.632 (63%)
c5d.18xlarge,72,144.0,2 x 900 NVMe SSD,25 Gigabit,$3.4560,$1.263 (63%)
c4.large,2,3.7,--,Moderate,$0.1000,$0.039 (61%)
c4.xlarge,4,7.5,--,High,$0.1990,$0.078 (61%)
c4.2xlarge,8,15.0,--,High,$0.3980,$0.155 (61%)
c4.4xlarge,16,30.0,--,High,$0.7960,$0.310 (61%)
c4.8xlarge,36,60.0,--,10 Gigabit,$1.5910,$0.621 (61%)
c3.large,2,3.7,SSD 2 x 16,Moderate,$0.1050,$0.039 (63%)
c3.xlarge,4,7.5,SSD 2 x 40,Moderate,$0.2100,$0.079 (63%)
c3.2xlarge,8,15.0,SSD 2 x 80,High,$0.4200,$0.157 (63%)
c3.4xlarge,16,30.0,SSD 2 x 160,High,$0.8400,$0.314 (63%)
c3.8xlarge,32,60.0,SSD 2 x 320,10 Gigabit,$1.6800,$0.628 (63%)
p2.xlarge,4,61.0,--,High,$0.9000,$0.400 (56%)
p2.8xlarge,32,488.0,--,10 Gigabit,$7.2000,$3.196 (56%)
p2.16xlarge,64,732.0,--,25 Gigabit,$14.4000,$6.392 (56%)
p3.2xlarge,8,61.0,--,Up to 10 Gbps,$3.0600,$1.159 (62%)
p3.8xlarge,32,244.0,--,10 Gigabit,$12.2400,$4.637 (62%)
p3.16xlarge,64,488.0,--,25 Gigabit,$24.4800,$9.274 (62%)
g2.2xlarge,8,15.0,SSD 1 x 60,High,$0.6500,$0.282 (57%)
g2.8xlarge,32,60.0,SSD 2 x 120,10 Gigabit,$2.6000,$1.128 (57%)
g3.4xlarge,16,122.0,--,10 Gigabit,$1.1400,$0.506 (56%)
g3.8xlarge,32,244.0,--,10 Gigabit,$2.2800,$1.011 (56%)
g3.16xlarge,64,488.0,--,10 Gigabit,$4.5600,$2.023 (56%)
r3.large,2,15.2,SSD 1 x 32,Moderate,$0.1660,$0.058 (65%)
r3.xlarge,4,30.5,SSD 1 x 80,Moderate,$0.3330,$0.117 (65%)
r3.2xlarge,8,61.0,SSD 1 x 160,High,$0.6650,$0.233 (65%)
r3.4xlarge,16,122.0,SSD 1 x 320,High,$1.3300,$0.467 (65%)
r3.8xlarge,32,244.0,SSD 2 x 320,10 Gigabit,$2.6600,$0.933 (65%)
r4.large,2,15.25,--,Moderate,$0.1330,$0.050 (62%)
r4.xlarge,4,30.5,--,Moderate,$0.2660,$0.100 (62%)
r4.2xlarge,8,61.0,--,High,$0.5320,$0.200 (62%)
r4.4xlarge,16,122.0,--,High,$1.0640,$0.400 (62%)
r4.8xlarge,32,244.0,--,10 Gigabit,$2.1280,$0.800 (62%)
r4.16xlarge,64,488.0,--,10 Gigabit,$4.2560,$1.600 (62%)
r5.large,2,16.0,--,Up to 10 Gbps,$0.1260,$0.050 (61%)
r5.xlarge,4,32.0,--,Up to 10 Gbps,$0.2520,$0.100 (61%)
r5.2xlarge,8,64.0,--,Up to 10 Gbps,$0.5040,$0.199 (61%)
r5.4xlarge,16,128.0,--,Up to 10 Gbps,$1.0080,$0.398 (61%)
r5.12xlarge,48,384.0,--,10 Gigabit,$3.0240,$1.194 (61%)
r5.24xlarge,96,768.0,--,25 Gigabit,$6.0480,$2.388 (61%)
r5d.large,2,16.0,1 x 75 NVMe SSD,Up to 10 Gbps,$0.1440,$0.056 (61%)
r5d.xlarge,4,32.0,1 x 150 NVMe SSD,Up to 10 Gbps,$0.2880,$0.112 (61%)
r5d.2xlarge,8,64.0,1 x 300 NVMe SSD,Up to 10 Gbps,$0.5760,$0.225 (61%)
